"year" "acousticness" "duration" "energy" "explicit" "key" "liveness" "loudness" "mode" "tempo" "pop.class"
"133" 1957 0.969 190587 0.101 1 "F" 0.123 -16.703 1 68.478 "D"
"134" 1982 0.163 205190 0.741 0 "Gb" 0.0869 -5.83 0 120.36 "B"
"135" 2010 0.00013 258120 0.913 0 "Db" 0.0477 -4.028 0 98.005 "B"
"136" 1957 0.743 448640 0.462 0 "Bb" 0.256 -9.072 0 118.371 "D"
"137" 1935 0.988 203010 0.482 1 "Db" 0.338 -16.303 1 133.388 "D"
"138" 2003 0.274 221267 0.642 0 "Db" 0.0717 -4.925 0 85.565 "C"
"139" 2005 0.307 304187 0.836 0 "C" 0.491 -6.052 0 121.147 "B"
"140" 1967 0.629 179720 0.47 0 "D" 0.0791 -9.629 0 116.338 "C"
"141" 1935 0.865 248047 0.18 0 "C" 0.259 -19.833 0 79.287 "D"
"142" 1945 0.995 134467 0.0526 0 "Bb" 0.0993 -18.966 0 75.288 "D"
"143" 1993 0.947 403133 0.119 1 "C" 0.313 -17.285 1 75.615 "C"
"144" 1952 0.903 198973 0.315 0 "C" 0.107 -9.071 0 129.623 "D"
"145" 1991 0.0648 398027 0.349 0 "Db" 0.055 -13.452 0 131.189 "C"
"146" 1994 0.727 377907 0.421 0 "D" 0.33 -8.112 0 92.545 "B"
"147" 2005 0.00702 526013 0.805 1 "D" 0.118 -5.211 1 164.952 "B"
"148" 1960 0.829 159280 0.0697 0 "Bb" 0.131 -17.784 0 110.773 "C"
"149" 2011 0.0145 204013 0.847 1 "B" 0.436 -4.734 1 99.058 "B"
"150" 1975 0.923 169560 0.211 0 "Db" 0.117 -15.603 0 130.071 "B"
"151" 1964 0.943 164000 0.245 0 "G" 0.118 -12.101 0 95.249 "B"
"152" 1976 0.745 278560 0.53 0 "D" 0.213 -9.905 0 105.706 "C"
"153" 1950 0.99 167293 0.0787 0 "Ab" 0.149 -13.021 0 101.322 "C"
"154" 1987 0.193 241933 0.539 0 "Bb" 0.12 -13.105 0 91.996 "B"
"155" 1932 0.862 194173 0.413 0 "C" 0.57 -8.187 0 96.055 "D"
"156" 1971 0.0311 236640 0.359 1 "B" 0.103 -12.006 1 75.733 "D"
"157" 1958 0.867 343907 0.118 0 "F" 0.0824 -17.033 0 82.221 "D"
"158" 1992 0.0883 328987 0.642 0 "Bb" 0.131 -9.38 0 92.419 "B"
"159" 1939 0.972 177200 0.195 1 "F" 0.245 -11.368 1 81.493 "D"
"160" 2009 0.642 257240 0.682 0 "A" 0.314 -6.358 0 172.255 "B"
"161" 1962 0.612 146307 0.467 0 "D" 0.151 -14.261 0 78.283 "C"
"162" 1945 0.887 466440 0.307 0 "Eb" 0.118 -15.181 0 102.523 "D"
"163" 1954 0.849 148133 0.627 0 "F" 0.087 -12.798 0 148.355 "C"
"164" 2009 0.0534 245293 0.63 1 "Gb" 0.0948 -6.915 1 180.022 "B"
"165" 1979 0.559 190733 0.527 0 "Db" 0.107 -12.564 0 90.619 "B"
"166" 1946 0.996 168413 0.0541 0 "Db" 0.147 -30.169 0 77.224 "D"
"167" 1936 0.995 196209 0.0974 0 "E" 0.219 -12.264 0 67.572 "D"
"168" 1953 0.971 168813 0.161 0 "Gb" 0.263 -19.424 0 130.357 "D"
"169" 1938 0.995 181185 0.215 0 "A" 0.489 -14.39 0 112.88 "D"
"170" 2009 0.21 188120 0.208 1 "A" 0.105 -15.235 1 115.872 "B"
"171" 1965 0.114 170693 0.661 0 "E" 0.465 -4.786 0 138.135 "D"
"172" 1995 0.483 389493 0.358 0 "Gb" 0.0808 -11.451 0 120.758 "C"
"173" 1990 0.503 336573 0.69 1 "F" 0.962 -8.06 1 103.94 "B"
"174" 1965 0.609 214147 0.225 1 "C" 0.0891 -12.744 1 132.296 "D"
"175" 1954 0.92 547120 0.11 0 "B" 0.0996 -16.18 0 124.126 "D"
"176" 1946 0.969 543653 0.0156 0 "G" 0.0803 -25.729 0 73.662 "D"
"177" 1954 0.919 106440 0.139 0 "C" 0.237 -15.205 0 94.629 "D"
"178" 1978 0.0803 276840 0.694 0 "G" 0.898 -7.497 0 102.412 "C"
"179" 1971 0.865 98827 0.784 1 "Db" 0.155 -9.757 1 104.746 "C"
"180" 1935 0.994 162213 0.325 1 "Db" 0.11 -11.005 1 120.563 "D"
"181" 1977 0.221 246400 0.432 0 "B" 0.203 -9.699 0 95.251 "C"
"182" 2005 0.00363 241693 0.575 0 "B" 0.347 -7.83 0 159.99 "B"
"183" 2012 0.44 214905 0.555 0 "A" 0.165 -6.804 0 90.002 "B"
"184" 2011 0.00249 211187 0.932 0 "F" 0.211 -4.454 0 140.996 "B"
"185" 1928 0.996 88893 0.00843 0 "G" 0.118 -30.115 0 72.44 "D"
"186" 1994 0.982 184000 0.0124 0 "G" 0.183 -28.765 0 74.89 "B"
"187" 2010 5.21e-06 227627 0.85 0 "Db" 0.245 -4.245 0 143.962 "B"
"188" 1973 0.386 188480 0.498 1 "E" 0.104 -8.865 1 143.775 "C"
"189" 1990 0.677 251667 0.433 1 "C" 0.164 -12.798 1 109.864 "A"
"190" 1977 0.132 451493 0.647 0 "G" 0.984 -11.448 0 131.412 "C"
"191" 1960 0.307 418560 0.54 1 "F" 0.363 -11.856 1 130.693 "C"
"192" 2008 0.277 227987 0.573 0 "C" 0.111 -5.951 0 93.71 "C"
"193" 2011 0.244 154858 0.968 1 "D" 0.121 -4.517 1 79.989 "B"
"194" 1986 0.0896 223641 0.946 1 "F" 0.363 -4.785 1 175.777 "C"
"195" 1995 0.0248 279133 0.804 0 "Gb" 0.48 -3.865 0 91.938 "A"
"196" 2017 0.739 192500 0.268 0 "Db" 0.0718 -15.199 0 119.879 "A"
"197" 1974 0.575 207427 0.187 0 "C" 0.0396 -17.26 0 117.075 "D"
"198" 1936 0.988 1172067 0.0894 0 "Bb" 0.101 -20.953 0 86.005 "D"
"199" 1947 0.995 152612 0.187 0 "C" 0.182 -18.939 0 79.89 "D"
"200" 1991 0.0658 215693 0.539 0 "G" 0.192 -12.217 0 122.532 "C"
"201" 2006 0.651 124107 0.361 1 "E" 0.0842 -16.461 1 140.226 "C"
"202" 1972 0.455 185067 0.533 0 "E" 0.103 -9.988 0 114.175 "C"
"203" 1996 0.406 189333 0.858 1 "A" 0.331 -8.339 1 92.393 "C"
"204" 2014 0.0489 204093 0.621 0 "G" 0.294 -7.364 0 191.9 "A"
"205" 1991 0.00168 323333 0.659 0 "C" 0.0513 -10.635 0 90.519 "C"
