"year","acousticness","duration","energy","explicit","key","liveness","loudness","mode","tempo","pop.class"
1946,0.548,158173,0.32,1,"G",0.193,-9.103,1,139.228,"D"
1973,0.972,280840,0.0539,0,"B",0.0839,-21.882,0,72.981,"B"
1963,0.968,207653,0.0315,0,"B",0.11,-18.39,0,92.191,"C"
1953,0.699,291386,0.592,0,"Eb",0.0565,-7.637,0,166.845,"D"
1988,0.00247,462227,0.698,0,"C",0.0694,-6.989,0,128.467,"C"
1972,0.195,266507,0.834,1,"F",0.0992,-10.572,1,105.902,"C"
1955,0.791,290267,0.255,0,"C",0.084,-17.213,0,98.012,"D"
1949,0.966,143200,0.157,0,"G",0.465,-17.292,0,88.46,"D"
1963,0.872,139773,0.293,0,"Eb",0.328,-16.163,0,109.459,"D"
2011,0.00187,397000,0.648,0,"D",0.106,-12.679,0,118.782,"B"
1942,0.931,204507,0.382,0,"Db",0.0858,-11.766,0,106.037,"D"
1928,0.993,170507,0.333,0,"Gb",0.278,-8.217,0,114.506,"D"
2018,0.0137,160991,0.852,0,"G",0.513,-5.166,0,124.091,"A"
1963,0.705,143987,0.729,0,"Ab",0.908,-10.597,0,106.499,"D"
1979,0.723,251427,0.395,0,"B",0.0511,-17.678,0,120.31,"C"
1945,0.964,578760,0.0964,0,"D",0.346,-16.619,0,86.49,"D"
1991,0.988,155052,0.00955,0,"Ab",0.14,-21.909,0,124.561,"C"
2012,0.289,243387,0.828,0,"C",0.434,-3.972,0,79.992,"A"
1967,0.731,164960,0.306,0,"B",0.0975,-15.075,0,132.175,"C"
1943,0.872,161907,0.329,1,"Ab",0.425,-12.702,1,97.917,"D"
2010,0.047,223520,0.869,0,"Db",0.0463,-6.238,0,116.943,"B"
1977,0.452,137960,0.438,0,"G",0.123,-11.937,0,69.435,"C"
1992,0.619,308907,0.558,0,"E",0.334,-15.152,0,79.024,"B"
2004,0.567,153787,0.161,0,"Ab",0.0597,-25.859,0,133.897,"B"
1975,0.719,430587,0.583,0,"C",0.0923,-9.554,0,97.486,"C"
2003,0.773,167587,0.334,0,"D",0.0981,-9.695,0,124.091,"C"
2020,0.71,228080,0.353,0,"C",0.31,-7.321,0,172.983,"D"
1926,0.956,28870,0.033,1,"A",0.103,-32.821,1,142.426,"D"
1995,0.411,400400,0.366,0,"F",0.0838,-14.939,0,86.653,"C"
2004,0.143,303013,0.587,0,"A",0.191,-10.082,0,80.627,"C"
1989,0.0036,108067,0.556,0,"A",0.232,-10.97,0,96.642,"B"
1984,0.0515,359853,0.789,0,"A",0.329,-8.112,0,161.759,"C"
1933,0.952,148573,0.268,0,"Bb",0.146,-13.609,0,110.596,"D"
1960,0.719,234840,0.123,1,"A",0.165,-17.487,1,72.856,"C"
1930,0.992,84133,0.118,0,"Ab",0.19,-18.826,0,76.263,"D"
1939,0.989,176960,0.317,0,"D",0.0802,-11.747,0,183.503,"D"
1995,0.339,284693,0.427,1,"F",0.105,-12.216,1,88.08,"B"
2005,0.000573,224200,0.823,1,"Gb",0.134,-5.739,1,132.337,"B"
1960,0.939,54800,0.135,0,"Db",0.394,-16.117,0,81.181,"D"
1986,0.833,409000,0.0644,0,"E",0.0969,-23.939,0,103.757,"B"
1950,0.935,216242,0.37,0,"E",0.153,-11.498,0,129.441,"D"
2006,0.276,169307,0.81,0,"G",0.0906,-5.379,0,76.412,"B"
2017,0.189,171493,0.807,0,"G",0.234,-5.428,0,81.045,"B"
2007,0.000569,180827,0.964,0,"G",0.0525,-4.689,0,179.975,"B"
1949,0.923,168733,0.13,1,"D",0.298,-12.812,1,123.782,"D"
1955,0.859,213667,0.181,1,"Ab",0.142,-13.41,1,135.094,"D"
1991,0.172,480813,0.716,0,"E",0.171,-8.846,0,111.656,"B"
